Alim. Car. NITENS 1;Alim. Cam. NITENS 1;Pic. Car. NITENS 1;Pic. Cam. NITENS 1;Total Alim. NITENS 1;Tiempo muerto L. corta 1;Tiempo efectivo L. corta 1;Tiempo muerto L. larga 1;Tiempo efectivo L. larga 1;Disp. L. corta 1;Disp. L. larga 1;Velocidad 1 ;Velocidad Real 1 ;PM NITENS 1;Consumo Diges. PT 1;Inv. Asti. NITENS 1;Inv. Asti. GLOBULUS 1;PM Galpon 194-1;PM Caldera 198-1;PM Secador 1;Inv. Corteza 1;Alim. Car. NITENS 2;Alim. Cam. NITENS 2;Pic. Car. NITENS 2;Pic. Cam. NITENS 2;Total Alim. NITENS 2;Tiempo muerto L. corta 2;Tiempo efectivo L. corta 2;Tiempo muerto L. larga 2;Tiempo efectivo L. larga 2;Disp. L. corta 2;Disp. L. larga 2;Velocidad 2;Velocidad Real 2;PM NITENS 2;Consumo Diges. PT 2;Inv. Asti. NITENS 2;Inv. Asti. GLOBULUS 2;PM Galpon 194-2;PM Caldera 198-2;PM Secador 2;Inv. Corteza 2;Total Astillado;Prod. Total
56;39;1935;993;2927;325;1115;325;1115;0,7743;0,7743;122;157;5905;5562;182520;165863;938;859;771;1119;43;50;1485;1273;2758;285;1155;370;1070;0,8021;0,7431;115;146;5905;5562;183681;161976;938;859;771;-376;5685;5905
60;50;2073;1273;3345;410;1030;835;605;0,7153;0,4201;139;192;7055;6551;189529;172414;821;867;721;1073;51;62;1762;1578;3340;340;1100;225;1215;0,7639;0,8438;139;183;7055;6551;190736;168527;821;867;721;-422;6685;7055
74;35;2556;891;3447;275;1165;1260;180;0,809;0,125;144;170;6198;5509;195689;177923;692;917;692;848;51;23;1762;585;2347;640;800;580;860;0,5556;0,5972;98;172;6198;5509;196934;174036;692;917;692;-647;5795;6198
113;0;3904;0;3904;270;1170;635;805;0,8125;0,559;163;198;4361;5546;4322;5546;626;915;611;1211;14;9;484;229;713;1260;180;1440;0;0,125;0;30;158;4361;5546;4361;5546;626;915;611;-289;4616;4361
94;0;3247;0;3247;385;1055;1440;0;0,7326;0;135;189;4607;5929;8888;11475;749;915;644;1045;34;0;1175;0;1175;1060;380;1440;0;0,2639;0;49;185;4607;5929;8968;11475;749;915;644;-455;4422;4607
0;0;0;0;0;1440;0;1440;0;0;0;0;0;0;0;8888;11475;0;0;0;-232;0;0;0;0;0;1440;0;1440;0;0;0;0;0;0;0;8968;11475;0;0;0;-1732;0;154
0;0;0;0;0;1440;0;960;480;0;0,3333;0;0;0;0;8888;11475;0;0;0;-232;0;0;0;0;0;1440;0;960;480;0;0,3333;0;0;0;0;8968;11475;0;0;0;-1732;0;2940
0;0;0;0;0;1440;0;0;1440;0;1;0;0;0;0;8888;11475;0;0;0;-232;0;0;0;0;0;1440;0;0;1440;0;1;0;0;0;0;8968;11475;0;0;0;-1732;0;1640
0;0;0;0;0;0;1440;0;1440;1;1;0;0;0;0;8888;11475;0;0;0;-232;0;0;0;0;0;0;1440;0;1440;1;1;0;0;0;0;8968;11475;0;0;0;-1732;0;2358
0;0;0;0;0;0;1440;0;1440;1;1;0;0;0;0;8888;11475;0;0;0;-232;0;0;0;0;0;0;1440;0;1440;1;1;0;0;0;0;8968;11475;0;0;0;-1732;0;2052
0;0;0;0;0;0;1440;0;1440;1;1;0;0;0;0;8888;11475;0;0;0;-232;0;0;0;0;0;135;1305;0;1440;0,9063;1;0;0;0;0;8968;11475;0;0;0;-1732;0;5230
102;0;3524;0;3524;275;1165;1440;0;0,809;0;147;180;6105;5861;6064;5861;817;1210;705;1107;51;0;1762;0;1762;480;960;480;960;0,6667;0,6667;73;110;6105;5861;6105;5861;817;1210;705;-393;5285;6105
